"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","smon","smpd","smop","hi","res","phdt","op","vamc","tbg","ih","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","hv","trma","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","chld","yad","adlt","snr","itu","pvtp","pvtn","fqhc","sumh","cbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","dv","pefp","hivt","stdt","tbs","aot","msnh","ipsy","shp","vahc","antpych","aim","fed","mhc","hbt","hct","labt","vapn","vapp","vppd","nx","fx","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Mountain Valley Child and Family Servs","","24077 State Highway 49","","Nevada City","CA","95959","8519","Nevada","530-265-9057","Intakes","530-966-8831","530-265-9057 x226","http://mountainvalleyfamilyservices.net","39.318855","-121.104678","MH","1","","1","","","","","","","1","1","1","1","1","","1","","1","1","","","","1","","","","","","","1","1","","1","","1","1","1","1","","","","","","1","","","","","1","","1","","","","","","","1","1","","","1","","1","1","","1","1","","1","1","1","1","1","1","","","1","","","1","","1","1","","","","1","1","1","","","","","1","","1","","","","","1","","","","","","","","1","","","","","","1","1","","","1","1","","","","","","1","","","","1","1","","","1","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Muir Wood Adolescent and","Family Services","343 Haverfield Lane","","Petaluma","CA","94952","1250","Sonoma","707-800-5286","Intake","","866-304-5089","http://www.MuirWoodTeen.com","38.246352","-122.666498","MH","1","","1","","","","","","","1","1","1","1","1","1","1","","1","1","","","","1","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","1","1","","","","1","","","1","","","","1","","","1","1","","1","","1","","1","1","1","","","1","","1","1","1","1","1","","1","","1","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","1","1","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Muir Wood Adolescent and","Family Services","1733 Skillman Lane","","Petaluma","CA","94952","","Sonoma","310-903-1155","Intake","949-324-8033","","http://www.muirwoodteen.com","38.2551766","-122.6767023","MH","1","","1","","","","","","","1","1","1","1","1","1","1","","1","1","","","","1","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","1","","","","","1","","","1","","","","1","","","1","","","","","","","1","1","1","","","1","","1","","1","1","","","","","1","","1","","","","","1","","","1","","","","","","","","","","","","","1","","1","1","","","1","1","","1","1","1","1","","","","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Muir Wood Adolescent and","Family Services","1743 Skillman Lane","","Petaluma","CA","94952","","Sonoma","707-800-5286","Intake","","866-304-5089","http://www.MuirWoodTeen.com","38.2554987","-122.6768821","MH","1","","1","","","","","","","1","1","1","1","1","1","1","","1","1","","","","1","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","1","1","","","","1","","","1","","","","1","","","1","1","","1","","1","","1","1","1","","","1","","1","1","1","1","1","","1","","1","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","1","1","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Center for Discovery","La Habra","2115 Las Palomas Drive","","La Habra","CA","90631","7761","Orange","866-862-3631","","","","http://centerfordiscovery.com/locations/la-habra/","33.9638412","-117.97263","MH","1","","1","","","","","","","1","1","1","1","1","","","","","1","","","","1","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","1","1","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Center for Discovery","Rancho Palos Verdes","30175 Avenida Tranquila","","Rancho Palos Verdes","CA","90275","","Los Angeles","866-862-3631","","","","http://centerfordiscovery.com/locations/rancho-palos-verdes/","33.7595204","-118.3992862","MH","1","","","1","","","","","","1","1","1","1","1","","","","","","","","","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","1","1","","","","","","","","","","","","","","","1","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Asana Recovery","Madsion","3073 Madison Avenue","","Costa Mesa","CA","92626","","Orange","949-438-4504","","","","http://www.asanarecovery.com","33.6835835","-117.9006186","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","1","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","","1","1","","","","1","1","","1","1","","1","","","","","","","","","1","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","","","","1","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Nsight Psychology and Addiction","","4000 Birch Street","Suite 112","Newport Beach","CA","92660","","Orange","949-629-3730","","","","http://www.nsightrecovery.com","33.6641928","-117.8692118","MH","1","","","","","","","","1","1","1","1","1","1","1","","","1","","","","","1","1","1","","","","1","","","","1","1","","","","","","","","","","","","","","","1","1","","","","1","1","","","1","","1","","1","","1","1","","1","1","","","1","1","","1","","","","","","","1","","1","","1","","","","","1","1","1","","1","","","1","","","","","","","","","","","","","1","","","1","","","1","1","1","1","1","1","","","1","","1","","","","","","1","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Oak Grove Center","","24275 Jefferson Avenue","","Murrieta","CA","92562","","Riverside","951-677-5599","","","","http://www.oakgrovecenter.org","33.566775","-117.218059","MH","1","","1","","","","","","","1","1","1","1","","1","1","","1","1","","","","1","1","1","","","","1","","","1","1","1","1","1","1","1","1","","","","","","","","","1","1","1","1","","","","1","","","1","1","","","1","","","1","","1","1","","1","1","1","1","1","","","","","","","","","1","","","","","","1","","","","","","1","","1","","","","","","","","","","","","","1","1","","","","","1","1","","1","1","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","1","","","","","","","","","","1","","","","","","","","","",""
"Center for Discovery","Del Mar","4421 Carmel Valley Road","","San Diego","CA","92130","2409","San Diego","866-862-3631","","","","http://centerfordiscovery.com/locations/del-mar/","32.9470749","-117.1975611","MH","1","","","1","","","","","","1","1","1","1","1","","","","","","","","","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","1","1","","","","","","","","","","","","","","","1","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Center for Discovery","La Jolla","3013 Woodford Drive","","La Jolla","CA","92037","3549","San Diego","877-701-7119","","","","http://centerfordiscovery.com/locations/la-jolla/","32.8481304","-117.2393646","MH","1","","","1","","","","","","1","1","1","1","1","","","","","","","","","1","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","1","","1","1","","","","","","","","","","","","","","","1","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Crestwood Behavioral Health Inc","Crestwood Wellness and Recovery Center","3062 Churn Creek Road","","Redding","CA","96002","2124","Shasta","530-221-0976","","","","http://crestwoodbehavioralhealth.com","40.562448","-122.353726","MH","1","","","1","","","","","","1","","1","1","1","1","1","","","","","","","1","","","","","","1","1","","","","","","","","","","1","","","1","","","","","","1","1","1","","","","","1","","1","","1","","1","","","1","","","","1","1","","1","","","","1","1","","","","1","","","","","","1","","","1","1","1","","1","","","1","","1","","1","1","1","1","1","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","","","","","1","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
