address,street,city,state,program_type,program_type_specific,org,hi,res,phdt,op,cbhc,msmh,omh,ores,ph,psy,rtca,rtcc,ipsy,shp,vahc,chld,yad,adlt,snr,tay,se,gl,vet,adm,mf,cj,co,hv,dv,trma,tbi,alz,ped,pefp,ptsd,sed,smi
"15252 Saddlewood Drive, Conroe, TX",15252 Saddlewood Drive,Conroe,TX,Residential,Adolescents of all genders,Clementine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"29470 Lake Vista Drive, Agoura Hills, CA",29470 Lake Vista Drive,Agoura Hills,CA,Residential,Adolescent girls ages 11 – 17,Clementine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"171 Main Street, South Salem, NY 10590",171 Main Street,South Salem,NY,Residential,Adolescents of all genders ages 12-18,Clementine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"27W121 80th Street, Naperville, IL",27W121 80th Street,Naperville,IL,Residential,Adolescent girls ages 11 – 17,Clementine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"13215 Twin Lakes Drive, Clifton, VA",13215 Twin Lakes Drive,Clifton,VA,Residential,Adolescent girls ages 11 – 17,Clementine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"11329 Henderson Rd, Fairfax Station, VA",11329 Henderson Rd,Fairfax Station,VA,Residential,Adolescent girls ages 11 – 17,Clementine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
St. Louis MO OPENING SUMMER 2022,St. Louis MO OPENING SUMMER 2022,,,Residential,,Clementine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"7990 SW 57 Ave, South Miami, FL",7990 SW 57 Ave,South Miami,FL,Residential,Adult women,Oliver-Pyatt,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"36075 S. Rincon Road, Wickenburg, AZ 85390",36075 S. Rincon Road,Wickenburg,AZ,Residential,Adults and adolescents of all genders,Rosewood,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Dedham, MA 02026 (Main Campus)",Dedham,,MA,PHP/IOP and Residential,Adults and adolescents of all genders,Walden Behavioral Care,,1,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Dunwoody, GA",Dunwoody,,GA,Residential,Adults and adolescents of all genders,Walden Behavioral Care,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
