state,state_url,abbv,regulated_facilities,unregulated_facilities,regulated_by,licensure_type_duration,inspections,accreditation,certificate_of_need,staffing,staff_trainings,staff_ratios,quality_assurance_plan,governance,link
Indiana,Indiana,IN,Community mental health centers and sub-acute stabilization facilities are regulated.,There are no unregulated facilities.,Facilities are regulated by the Division of Mental Health and Addiction.,Certification is required. The initial license lasts one year. Certifications are for every three years so a renewal needs to be submitted for the two years after receiving the initial license.,Inspections are required for licensure.,"required by ""an entity approved by"" the Division of Mental Health and Addiction","not required, but community mental health centers are ""assigned exclusive geographic primary service areas.""","The chief executive officer must have a master's degree and experience as a manager in the mental health or a related field. There should also be a medical services director. At least 10 percent of the staff should be licensed clinical social workers, mental health counselors, marriage and family therapists, psychiatrists or psychologists, or clinical nurse specialists. A physician should also be available 24/7 for staff to consult.","There are requirements for clinicians to receive crisis intervention training and for direct care staff to receive training on topics like consumer rights, working with families and cultural diversity.",Staff ratios were not specified in the report.,"A quality assurance plan is required, but no timeline for following up was specified in the report. 24-hour crisis services should also review individual crisis cases.","A governing body is required. Its responsibilities include conducting an annual assessment, including reviewing business practices to evaluate topics like business practices and risk management.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Indiana.pdf
Iowa,Iowa,IA,Crisis stabilization residential services and residential care facilities for persons with a mental illness are regulated.,There are no unregulated facilities.,The Department of Human Services regulates and accredits crisis stabilization residential services. The Department of Inspections and Appeals regulates and licenses adult residential mental health facilities.,Crisis stabilization residential services need to receive accreditation by the Iowa Department of Health Services. Residential mental health facilities are licensed by the Iowa Department of Inspections and Appeals. The duration of accreditation for crisis stabilization residential services was not specified in regulations. Licensure for residential mental health facilities lasts one year.,Inspections for residential mental health facilities are required “at least once within a 30-month period. Inspection requirements for crisis stabilization residential services weren’t specified in regulations.,"not required. Accredited crisis stabilization units will receive “deemed status.” Accepted accreditation organizations are the Joint Commission, Commission on Accreditation of Rehabilitation Facilities, the Council on Quality and Leadership in Supports for People with Disabilities, The Council on Accreditation of Services for Children and Families, The American Association of Suicidology or Contact USA.",required.,"Facilities must have a designated director or administrator. At least one licensed mental health professional must be available for consultation. All facilities must have “awake and attentive staffing 24 hours a day, 365 days a year.” Programs with more than 15 beds must have an employee to direct activities for residents. Staff cannot be under the influence. Background checks for staff are required. There are additional requirements for staffing based on the type of program.","All crisis response service providers must complete training, including at least 30 hours of crisis intervention training approved by the Department of Human Services and a post-training assessment. A department-approved training on restraint is also required.","There must be ""sufficient"" staff, but ratios are not specified in the report.","A quality assurance plan is required for crisis stabilization residential services, including collecting data on patient readmission. No quality assurance plan requirements were found in regulations for other adult mental health residential treatment facilities.","Crisis stabilization units need to have policies and procedures, but a governing body was not specified in the report. Residential care facilities need to have a governing board, policies and procedures and a plan outlining ""essential elements of service deliverey.""",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Iowa.pdf
Kansas,Kansas,KS,"Residential treatment facilities, which are a subset of community mental health centers, are regulated.",There are no unregulated facilities.,"Facilities are regulated by the Department for Aging and Disability Services Survey, Certification and Credentialing Commission.",Licensure is required. Provisional licenses last six months. Licensure lasts two years.,Inspections are not required but “may” occur for licensure or renewal.,"not required, but any accreditation must be specified in the licensure application.","not required, but there are similar requirements that keep a new center from being established where there are already existing centers.","There are licensing and training requirements for professional staff. Staff must have qualified clinical supervision. There should be a licensed physician and a psychiatric consultant, in the case that the licensed physician is not also a psychiatrist.",No required training is specified in the report. The report also specifically notes that there is no required training on trauma-informed care in regulations.,There are no requirements on staffing ratios in regulations.,"A quality assurance plan is required, but no timeline for following up was specified in the report. Among the requirements outlined by the policies and procedures that establish the quality assurance program is that a facility has five years of records to show that it has met regulations.",A governing board is required and composition requirements for the board are specified in regulations.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Kansas.pdf
Kentucky,Kentucky,KY,No report from the Office of the U.S. Department of Health and Human Services’s Assistant Secretary for Planning and Evaluation existed for Kentucky.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Louisiana,Louisiana,LA,"Forensic supervised transitional residential and aftercare facilities, behavioral health service providers and Level III crisis receiving centers are regulated.","Unregulated facilities are not specified in the report, though the report notes that therapeutic group homes and psychiatric residential treatment facilities for those younger than 21 years old and adult residential care providers are not included in this report because they have separate regulatory standards.",Facilities are regulated by the Department of Health.,Licensure is required and lasts one year.,Inspections are required for both licensure and renewal.,"not required, but some facilities may be required to obtain accreditation to receive state or federal funding. Accreditation gives a facility “deemed status,” which means the department will not conduct periodic licensing surveys","may or may not be required, as Department of Health staff could not confirm whether such a requirement existed.","All mental health and substance use providers in the state should, at the minimum, have: a medical director (either a physician or advanced practice registered nurse), a clinical director (“licensed psychiatrist, psychologist, clinical social worker, professional counselor (LPC) or marriage and family therapist (LMFT) with a minimum of two years qualifying experience in treating psychiatric disorders”), an administrator (has either a bachelor’s degree from an accredited institution or one year of qualifying experience), a clinical supervisor (licensed mental health professional) and nursing staff. Staff should include “a manager with a master’s degree and one year of qualifying experience; a clinical director who is a physician or a psychiatric and mental health nurse practitioner with an unrestricted APRN license; a nurse manager with an unrestricted license as an RN; an authorized licensed prescriber who is a physician or a psychiatric and mental health nurse practitioner with an unrestricted APRN license; licensed mental health professionals; and nurses.”","Employees at forensic supervised transitional residential and aftercare facilities should have a 20-hour orientation and 16 hours of training each year, covering topics like client rights. Employees at Level III crisis receiving centers should have orientation training prior to beginning work, including 40 hours dedicated to crisis services and intervention training. Employees should also receive additional training each year, including 12 hours dedicated to crisis services and intervention training.",Staff ratios were not specified in the report.,"A quality assurance plan is required, but no timeline for following up was specified in the report. This plan includes the creation of a committee, consisting of at least three people with ""qualifying experience,"" including at least one licensed mental health professional.",A governing body is required.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Louisiana.pdf
Maine,Maine,ME,Crisis residential services and private non-medical institutions are regulated.,The report found no mention to other regulated facilities outside of the two above categories.,Facilities are regulated by the Department of Health and Human Services.,"Licensure is required. The requirements for licensure include that the facility be in ""substantial compliance"" with standards and have enough funds to operate for the first year. The duration of licensure was not specified in regulations.",Inspections are required for both licensure and renewal.,"not required, but may waive certain requirements and grant deemed status, but the report found that the regulations did not specify further.",required.,"Requirements for employees that must be part of a facility weren’t specified in the report. If medical services are not provided on site, the facility must also arrange for access to such services.","Orientation and ongoing training are required, including on topics like patient rights, physical intervention and safety. Employees at crisis residential services also need to complete nationally recognized training in managing aggression, crisis stabilization and residential management. No requirements were found regarding trauma-informed care.",Staff must meet ratios outlined by the state’s assisted living standards.,Quality management must be assessed at least once a year. Facilities should have documentation of quality management activities taking place. Facilities are also required to establish a way of measuring whether a patient should have been admitted and should receive continued care.,"A governing body is required. Additional requirements specify bylaws, policies and procedures, measures for patient feedback and more.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Maine.pdf
Maryland,Maryland,MD,"Residential crisis services, which provide short-term mental health treatment are regulated.",The report found that projects “exempted by the state” like a “pilot project or federal or state demonstration project” could be unregulated.,"Facilities are regulated by the Department of Health, Behavioral Health Administration.","Licensure is required. Duration varies depending on the organization a facility is accredited by, but generally, the license lasts 3 months past the accreditation’s expiration.","Inspections by the state are not specified in the report, but accrediting bodies may inspect facilities.","required from The Accreditation Commission for Health Care, The Commission on Accreditation of Rehabilitation Facilities, The Council on Accreditation or The Joint Commission.",not required.,"The only staffing requirement for residential mental health care facilities outlined in the report is to have staff on site 24 hours per day, 7 days a week when a patient is there.",Requirements for staff trainings were not specified in the report.,Staff ratios were not specified in the report.,No requirements for a quality assurance plan were found in regulations.,No governance requirements were found in regulations.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Maryland.pdf
Massachusetts,Massachusetts,MA,Adult mental health residential treatment facilities are regulated as part of the community mental health center system.,"The report found it ""possible"" that there are facilities outside of the above categories that are not regulated.",Facilities are regulated by the Department of Mental Health.,"Licensure is required for all providers, except those licensed by another state agency. Licensure lasts two years.",Inspections are required at least once a year.,not required,not required.,"Regulations outline qualifications and job responsibilities for employees, including the facility director. Facilities are also required to have written policies and procedures specifying job descriptions and staff qualifications.","Staff needs to receive orientation and ongoing training, as well as supervision. Training on evacuation procedures for impaired and partially impaired people is also required.",Staffing must be “adequate” but specific ratios were not specified in the report.,"A quality assurance plan is required, but no timeline for following up was specified in the report.",Facilities must have written policies and procedures for quality management. Facilities are also required to collect data to prevent using restraint.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Massachusetts.pdf
Michigan,Michigan,MI,"There were no specific regulations for adult residential mental health treatment facilities, though the state has requirements for patient rights that apply to all mental health patients.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Michigan.pdf
Minnesota,Minnesota,MN,"Residential mental health programs, which include Category 1 programs (Residential) and Category II programs (“Transitional semi-independent or supervised group supportive living”), and intensive residential treatment services, which are short-term treatment serving up to 16 patients.",The report found no regulations for facilities outside of the above categories.,Facilities are regulated by the Department of Human Services.,Licensure is required and lasts two years.,Inspections are required for both licensure and renewal.,"not required, but can be considered “partial compliance” with the state’s licensing standards and/or allow the facility to have an “abbreviated inspection.” Specific accrediting bodies were not specified in the report.",not required.,"There are requirements for the “program administrator, program director, mental health therapists, mental health counselors and mental health workers” in Category I and Category II residential mental health programs. Certain credentials are required for all of the jobs listed above, except for the program administrator. Qualifications are also outlined for the clinical supervisor, registered nurses and treatment director at facilities providing intensive residential treatment services. If patients are receiving crisis stabilization services, there must also be a mental health professional on staff or a mental health practitioner or rehabilitation worker who has received 30 hours of training in crisis services over the past two years. Facilities should have at least two staff members around the clock for the patient’s first two days of crisis stabilization care, after which staffing levels can be adjusted.","All facilities should have at least 15 hours of training per year, covering topics like crisis intervention, community resources and staff stress. Unlicensed direct care staff in intensive residential treatment services are required to train in motivational interviewing.","For Category I residential mental health programs, the program director’s work hours are based on resident capacity, with one hour per week corresponding to one resident (40 hours per week to 40 residents). If a facility has fewer than 40 beds, one program director can direct multiple programs that have less than 40 beds. The combined work hours by the therapist, counselor and mental health worker should amount to “one full-time equivalent position for each five residents.” For Category II residential mental health programs, the same work hours criteria applies to the program director. The combined work hours by the therapist, counselor and mental health worker should amount to “one full-time equivalent position for each ten residents.” Staffing ratios are also outlined for direct care and mental health staff in intensive residential treatment services, but are not specified in the report.",A quality assurance plan is required for Category I/II programs and intensive residential treatment services. Information collected by Category I/II programs is submitted to the commissioner of the Minnesota Department of Human Services. The commissioner will evaluate regulations at least once every five years.,All facilities are required to include in the licensure application information on their leadership and policies for ensuring compliance with regulations.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Minnesota.pdf
