name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,idd,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,sumh,cbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,stdt,tbs,aot,msnh,ipsy,shp,vahc,antpych,aim,fed,mhc,hbt,hct,labt,vapn,vapp,vppd,nx,fx,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n24,n40
People Inc,Anchor House,1593 Hewitt Avenue,,Saint Paul,MN,55104,,Ramsey,612-529-2040,Intake,612-529-2040 x2702,,http://www.peopleincorporated.org,44.9667187,-93.1678717,MH,1,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
People Inc,Maghakian Place,1100 Hancock Street,,Saint Paul,MN,55106,5336.0,Ramsey,651-793-6333,Intake,651-793-6333 x4034,,http://www.peopleincorporated.org,44.958817,-93.053071,MH,1,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
People Inc,Diane Ahrens Crisis Residence,1784 Lacrosse Avenue,,Saint Paul,MN,55119,4808.0,Ramsey,651-645-9424,Intake,651-266-7900,,http://www.peopleincorporated.org,44.9710395,-93.0249645,MH,1,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Key Point Health Services Inc,,1012 North Point Road,,Baltimore,MD,21224,,Baltimore City,443-216-4800,,,,http://www.keypoint.org,39.2888523,-76.5088079,MH,1,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,1,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Citywide Health Corporation,Citywide Behavioral Health ,17 Warren Road ,Suite 20-B ,Pikesville,MD,21208,,Baltimore,410-929-2314,,,,http://www.citywidebh.com,39.3684731,-76.7146696,MH,1,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Sheppard Pratt Health System,Sheppard Pratt School and RTC,6501 North Charles Street,,Towson,MD,21204,,Baltimore,410-938-3000,Intake,410-938-5152,,http://www.Sheppardpratt.org,39.4025,-76.6344,MH,1,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,1,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Key Point Health Services Inc,Administration and Outpatient Clinic,135 North Parke Street,,Aberdeen,MD,21001,2428.0,Harford,443-625-1600,,,,http://www.KeyPoint.org,39.513193,-76.1628,MH,1,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,1,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Cedar Ridge Ministries,Childrens Home,12146 Cedar Ridge Road,,Williamsport,MD,21795,,Washington,301-582-0282 x123,,,,http://cedarridgeministries.org,39.6482628,-77.856098,MH,1,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,1,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Bethlem Hospital,,801 Ostrum Street,,Bethlehem,PA,18015,,Bucks,215-538-4500 x4747,,,,http://www.slhn.org,40.6090639,-75.3930609,MH,1,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,1,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Texas VA Healthcare Services,,1901 Veterans Memorial Drive,,Temple,TX,76504,,Bell,254-743-1271,,,,http://CTVHCS.gov,31.076454,-97.347436,MH,1,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,,1,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
Central Texas VA Healthcare System,Waco VA Medical Center,4800 Memorial Drive,,Waco,TX,76711,,McLennan,254-752-6581,Intake,254-297-3050,,http://www.centraltexas.va.gov,31.5129761,-97.1639125,MH,1,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Sage Recovery and Wellness Village,,7201 Gilbert Road,,Manor,TX,78653,,Travis,512-306-1394,,,,http://,30.2767472,-97.577331,MH,1,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Center for Discovery,Dallas,5124 Corinthian Bay Drive,,Plano,TX,75093,4001.0,Collin,866-862-3631,Intake,214-501-5111 x2,,http://centerfordiscovery.com/locations/plano/,33.0376292,-96.8005843,MH,1,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,1,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,1,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Center for Discovery,Houston,17515 Swansbury Drive  ,,Cypress,TX,77429,3407.0,Harris,866-824-0109,,,,http://centerfordiscovery.com/locations/houston-outpatient/,29.9754861,-95.694595,MH,1,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,1,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,1,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Unity Childrens Home,,2111 River Valley Drive,,Spring,TX,77373,,Harris,281-355-0905,Intake,281-355-0716,,http://www.unitychildrenshome.com,30.0577736,-95.3951413,MH,1,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,1,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Corpus Christi Medical Center,Bayview Behavioral Hospital,6629 Wooldridge Road,,Corpus Christi,TX,78414,,Nueces,361-986-8200 x8204,Intake,361-986-8200,,http://www.ccmedicalcenter.com,27.6799384,-97.3602123,MH,1,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Markus Mittemayr,,4123 37th Street North,,Saint Petersburg,FL,33714,,Pinellas,727-522-4717,Intakes,727-821-4819 x6762,727-824-5724,http://www.boleycenters.org,27.8094248,-82.6829813,MH,1,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Boley Morningside Safe Haven,,9220 102nd Avenue North,,Seminole,FL,33777,,Pinellas,727-821-4819,Intake,727-686-7490,,http://www.boleycenters.org,27.8651712,-82.7663672,MH,1,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1,,,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
David Lawrence Center,Outpatient/Residential and Detox,6075 Bathey Lane,,Naples,FL,34116,,Collier,239-455-8500,Intake,,239-354-1446 x1527,http://davidlawrencecenter.org,26.1758257,-81.7282945,MH,1,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
